mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.27678704261779785,0.008149385452270508,0.01566159725189209,0.0001074075698852539,5,0.5,100,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.843558282208589,0.8496932515337423,0.8466257668711656,0.0030674846625766694,21
0.5807836055755615,0.06625509262084961,0.024332880973815918,0.0022851228713989258,5,0.5,200,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8404907975460123,0.8496932515337423,0.8450920245398773,0.004601226993865004,23
0.8744078874588013,0.05312764644622803,0.04770994186401367,0.009681940078735352,5,0.5,300,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8282208588957055,0.8558282208588958,0.8420245398773006,0.013803680981595123,26
0.31451427936553955,0.009888291358947754,0.012882471084594727,0.0001533031463623047,5,0.7,100,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8558282208588958,0.843558282208589,0.8496932515337423,0.006134969325153394,20
0.6470087766647339,0.018972039222717285,0.026186466217041016,0.005686044692993164,5,0.7,200,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8466257668711656,0.8466257668711656,0.8466257668711656,0.0,21
0.8536955118179321,0.019991517066955566,0.03207111358642578,0.0007262229919433594,5,0.7,300,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8374233128834356,0.8404907975460123,0.838957055214724,0.0015337423312883347,27
0.24606668949127197,0.020061612129211426,0.017708420753479004,0.004821658134460449,5,1,100,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8466257668711656,0.8588957055214724,0.852760736196319,0.006134969325153394,19
0.4777902364730835,0.0030840635299682617,0.026010513305664062,0.0025932788848876953,5,1,200,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8404907975460123,0.8466257668711656,0.843558282208589,0.0030674846625766694,24
1.1710561513900757,0.0020569562911987305,0.046533823013305664,0.0015971660614013672,5,1,300,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8404907975460123,0.8466257668711656,0.843558282208589,0.0030674846625766694,24
0.2921396493911743,0.0041800737380981445,0.015298247337341309,0.0017386674880981445,10,0.5,100,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8619631901840491,0.8711656441717791,0.8665644171779141,0.004601226993865004,14
0.7728649377822876,0.003493189811706543,0.027617454528808594,0.0036504268646240234,10,0.5,200,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8588957055214724,0.8711656441717791,0.8650306748466258,0.006134969325153339,17
1.1862003803253174,0.1485598087310791,0.03999495506286621,0.004872322082519531,10,0.5,300,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8558282208588958,0.8803680981595092,0.8680981595092025,0.012269938650306733,9
0.5593754053115845,0.09857380390167236,0.014570236206054688,0.0024404525756835938,10,0.7,100,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8619631901840491,0.8742331288343558,0.8680981595092024,0.006134969325153339,11
0.6061856746673584,0.02807903289794922,0.02741992473602295,0.0031419992446899414,10,0.7,200,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8680981595092024,0.8803680981595092,0.8742331288343559,0.006134969325153394,1
0.9055858850479126,0.05590164661407471,0.034577369689941406,0.0025060176849365234,10,0.7,300,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8680981595092024,0.8742331288343558,0.8711656441717791,0.0030674846625766694,7
0.25341880321502686,0.016554951667785645,0.015703678131103516,0.002111673355102539,10,1,100,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8619631901840491,0.8742331288343558,0.8680981595092024,0.006134969325153339,11
0.47032666206359863,0.00394749641418457,0.024730324745178223,0.0006629228591918945,10,1,200,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.852760736196319,0.8742331288343558,0.8634969325153374,0.010736196319018398,18
0.748703122138977,0.04542219638824463,0.03884124755859375,0.002760648727416992,10,1,300,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8588957055214724,0.8742331288343558,0.8665644171779141,0.0076687116564416735,14
0.3046621084213257,0.01804220676422119,0.01401972770690918,0.0004990100860595703,20,0.5,100,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8588957055214724,0.8773006134969326,0.8680981595092025,0.009202453987730064,9
0.5405606031417847,0.013519883155822754,0.025301098823547363,0.0022557973861694336,20,0.5,200,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8619631901840491,0.8742331288343558,0.8680981595092024,0.006134969325153339,11
0.7933007478713989,0.007797598838806152,0.03346061706542969,0.0015320777893066406,20,0.5,300,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8619631901840491,0.8834355828220859,0.8726993865030674,0.010736196319018398,2
