mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,param_random_state,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.2988004684448242,0.013676643371582031,0.016284823417663574,0.0012487173080444336,5,0.5,100,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.843558282208589,0.8496932515337423,0.8466257668711656,0.0030674846625766694,21
0.6276943683624268,0.025574445724487305,0.022580265998840332,0.0004576444625854492,5,0.5,200,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8404907975460123,0.8496932515337423,0.8450920245398773,0.004601226993865004,23
0.9001003503799438,0.03994476795196533,0.04614734649658203,0.009475469589233398,5,0.5,300,2021,"{'max_depth': 5, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8282208588957055,0.8558282208588958,0.8420245398773006,0.013803680981595123,26
0.32674455642700195,0.010268449783325195,0.015431404113769531,0.0004000663757324219,5,0.7,100,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8558282208588958,0.843558282208589,0.8496932515337423,0.006134969325153394,20
0.6064293384552002,0.007284879684448242,0.027914047241210938,0.0006442070007324219,5,0.7,200,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8466257668711656,0.8466257668711656,0.8466257668711656,0.0,21
1.012663722038269,0.004999756813049316,0.03654146194458008,2.7894973754882812e-05,5,0.7,300,2021,"{'max_depth': 5, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8374233128834356,0.8404907975460123,0.838957055214724,0.0015337423312883347,27
0.25400519371032715,0.014820575714111328,0.013522744178771973,0.0005005598068237305,5,1,100,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8466257668711656,0.8588957055214724,0.852760736196319,0.006134969325153394,19
0.48554742336273193,0.03466165065765381,0.027199268341064453,0.004064083099365234,5,1,200,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.8404907975460123,0.8466257668711656,0.843558282208589,0.0030674846625766694,24
0.7204551696777344,0.010271787643432617,0.036191582679748535,0.004389166831970215,5,1,300,2021,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8404907975460123,0.8466257668711656,0.843558282208589,0.0030674846625766694,24
0.30301690101623535,0.023061513900756836,0.02361142635345459,0.00815427303314209,10,0.5,100,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8619631901840491,0.8711656441717791,0.8665644171779141,0.004601226993865004,14
0.6060413122177124,0.0407181978225708,0.046202898025512695,0.0216982364654541,10,0.5,200,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8588957055214724,0.8711656441717791,0.8650306748466258,0.006134969325153339,17
1.0171971321105957,0.03972911834716797,0.04465937614440918,0.0036563873291015625,10,0.5,300,2021,"{'max_depth': 10, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8558282208588958,0.8803680981595092,0.8680981595092025,0.012269938650306733,9
0.3458653688430786,0.005765080451965332,0.01303553581237793,4.0531158447265625e-06,10,0.7,100,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 100, 'random_state': 2021}",0.8619631901840491,0.8742331288343558,0.8680981595092024,0.006134969325153339,11
0.6726443767547607,0.01766061782836914,0.02310335636138916,6.210803985595703e-05,10,0.7,200,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 200, 'random_state': 2021}",0.8680981595092024,0.8803680981595092,0.8742331288343559,0.006134969325153394,1
0.9881631135940552,0.06818878650665283,0.04203152656555176,0.007742404937744141,10,0.7,300,2021,"{'max_depth': 10, 'max_features': 0.7, 'n_estimators': 300, 'random_state': 2021}",0.8680981595092024,0.8742331288343558,0.8711656441717791,0.0030674846625766694,7
0.2974289655685425,0.01646602153778076,0.014786601066589355,0.0009099245071411133,10,1,100,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100, 'random_state': 2021}",0.8619631901840491,0.8742331288343558,0.8680981595092024,0.006134969325153339,11
0.47967612743377686,0.00355684757232666,0.02518284320831299,0.0005336999893188477,10,1,200,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 200, 'random_state': 2021}",0.852760736196319,0.8742331288343558,0.8634969325153374,0.010736196319018398,18
0.8574262857437134,0.07850062847137451,0.039633870124816895,0.0007270574569702148,10,1,300,2021,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 300, 'random_state': 2021}",0.8588957055214724,0.8742331288343558,0.8665644171779141,0.0076687116564416735,14
0.33110570907592773,0.009295940399169922,0.014071941375732422,0.0001537799835205078,20,0.5,100,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 100, 'random_state': 2021}",0.8588957055214724,0.8773006134969326,0.8680981595092025,0.009202453987730064,9
0.683089017868042,0.08425736427307129,0.03457188606262207,0.005513191223144531,20,0.5,200,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 200, 'random_state': 2021}",0.8619631901840491,0.8742331288343558,0.8680981595092024,0.006134969325153339,11
0.8778045177459717,0.003337383270263672,0.03543376922607422,0.0032062530517578125,20,0.5,300,2021,"{'max_depth': 20, 'max_features': 0.5, 'n_estimators': 300, 'random_state': 2021}",0.8619631901840491,0.8834355828220859,0.8726993865030674,0.010736196319018398,2
